TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2018,11,16,20.0,47.0,16XX W BROADWAY AVE,Fairview,489734.42,5456775.52
Break and Enter Residential/Other,2018,7,8,12.0,46.0,4XX E 17TH AVE,Riley Park,493126.48,5455878.78
Break and Enter Commercial,2018,1,14,18.0,42.0,8XX HAMILTON ST,Central Business District,491470.48,5458354.67
Theft from Vehicle,2018,4,16,8.0,25.0,22XX E 47TH AVE,Victoria-Fraserview,495519.4,5452766.38
Theft from Vehicle,2018,1,14,6.0,30.0,9XX EXPO BLVD,Central Business District,491654.33,5458113.67
Theft from Vehicle,2018,3,3,14.0,33.0,9XX EXPO BLVD,Central Business District,491654.33,5458113.67
Theft from Vehicle,2018,5,13,1.0,0.0,9XX EXPO BLVD,Central Business District,491654.33,5458113.67
Theft from Vehicle,2018,11,4,15.0,21.0,2XX E GEORGIA ST,Strathcona,492744.75,5458423.92
Theft of Bicycle,2018,11,14,20.0,0.0,11XX E PENDER ST,Strathcona,494134.5,5458585.97
Offence Against a Person,2018,11,5,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,3,6,11.0,0.0,9XX GILFORD ST,West End,489803.38,5459751.1
Theft of Vehicle,2018,4,12,9.0,0.0,29XX E 26TH AVE,Renfrew-Collingwood,496871.11,5454918.25
Theft from Vehicle,2018,10,24,4.0,47.0,9XX GILFORD ST,West End,489803.38,5459751.1
Theft from Vehicle,2018,1,30,21.0,0.0,32XX E 26TH AVE,Renfrew-Collingwood,497349.92,5454931.38
Offence Against a Person,2018,8,4,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,8,7,0.0,0.0,9XX GILFORD ST,West End,489845.96,5459780.64
Theft from Vehicle,2018,12,3,18.0,6.0,2XX E GEORGIA ST,Strathcona,492744.75,5458423.92
Theft from Vehicle,2018,2,13,21.0,30.0,9XX GRANVILLE ST,Central Business District,491103.8,5458552.97
Theft from Vehicle,2018,10,29,0.0,0.0,22XX E 48TH AVE,Victoria-Fraserview,495509.45,5452605.15
Theft from Vehicle,2018,11,28,22.0,30.0,22XX E 48TH AVE,Victoria-Fraserview,495683.34,5452612.59
Break and Enter Residential/Other,2018,1,27,0.0,0.0,17XX ADANAC ST,Grandview-Woodland,494981.35,5458318.13
Mischief,2018,12,29,16.0,0.0,4XX E 54TH AVE,Sunset,492896.32,5452020.87
Theft from Vehicle,2018,7,3,10.0,6.0,22XX E 49TH AVE,Victoria-Fraserview,495609.75,5452482.14
Offence Against a Person,2018,12,16,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,6,13,18.0,0.0,9XX GRANVILLE ST,Central Business District,491133.73,5458582.67
Theft from Vehicle,2018,7,22,18.0,20.0,9XX GRANVILLE ST,Central Business District,491133.73,5458582.67
Theft from Vehicle,2018,7,18,19.0,0.0,9XX GRANVILLE ST,Central Business District,491134.19,5458596.01
Theft from Vehicle,2018,11,4,8.0,8.0,9XX GRANVILLE ST,Central Business District,491141.09,5458602.87
Other Theft,2018,4,6,7.0,51.0,45XX W 10TH AVE,West Point Grey,484623.54,5456815.57
Theft from Vehicle,2018,12,31,8.0,28.0,9XX GRANVILLE ST,Central Business District,491159.04,5458607.8
Theft from Vehicle,2018,9,11,14.0,57.0,12XX SEYMOUR ST,Central Business District,490893.9,5458194.75
Break and Enter Residential/Other,2018,10,15,15.0,11.0,4XX E 11TH AVE,Mount Pleasant,493075.48,5456443.12
Break and Enter Residential/Other,2018,4,27,20.0,0.0,4XX E 11TH AVE,Mount Pleasant,493075.48,5456443.12
Break and Enter Residential/Other,2018,4,26,9.0,0.0,4XX E 11TH AVE,Mount Pleasant,493075.48,5456443.12
Break and Enter Commercial,2018,9,26,0.0,11.0,8XX HOWE ST,Central Business District,491166.58,5458763.63
Mischief,2018,5,22,22.0,6.0,31XX W 2ND AVE,Kitsilano,487326.71,5457518.43
Theft from Vehicle,2018,1,12,10.0,12.0,9XX GRANVILLE ST,Central Business District,491170.55,5458619.22
Break and Enter Residential/Other,2018,8,24,20.0,43.0,4XX E 10TH AVE,Mount Pleasant,493212.34,5456539.99
Break and Enter Residential/Other,2018,3,8,21.0,0.0,4XX E 10TH AVE,Mount Pleasant,493212.34,5456539.99
Theft from Vehicle,2018,2,4,23.0,30.0,9XX GRANVILLE ST,Central Business District,491170.55,5458619.22
Theft from Vehicle,2018,3,2,8.0,0.0,9XX GRANVILLE ST,Central Business District,491170.55,5458619.22
Theft from Vehicle,2018,3,25,16.0,0.0,9XX GRANVILLE ST,Central Business District,491170.55,5458619.22
Theft from Vehicle,2018,4,4,19.0,50.0,9XX GRANVILLE ST,Central Business District,491170.55,5458619.22
Theft from Vehicle,2018,4,7,2.0,2.0,9XX GRANVILLE ST,Central Business District,491170.55,5458619.22
Theft from Vehicle,2018,6,7,9.0,30.0,9XX GRANVILLE ST,Central Business District,491170.55,5458619.22
Theft from Vehicle,2018,7,8,17.0,14.0,9XX GRANVILLE ST,Central Business District,491170.55,5458619.22
Theft from Vehicle,2018,9,28,20.0,0.0,9XX GRANVILLE ST,Central Business District,491170.55,5458619.22
Theft from Vehicle,2018,10,2,16.0,0.0,9XX GRANVILLE ST,Central Business District,491170.55,5458619.22
Break and Enter Commercial,2018,10,8,22.0,30.0,8XX HOWE ST,Central Business District,491166.58,5458763.63
Theft from Vehicle,2018,10,23,18.0,30.0,9XX GRANVILLE ST,Central Business District,491170.55,5458619.22
